hmdb_id,smiles,pubchem_cid,inchikey
HMDB0000332,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C=O)O,44263344,XUQWWIFROYJHCU-FJNAKSJRSA-N
HMDB0000333,COC1=C(C=C(C=C1)CC(=O)O)O,160562,BWXLCOBSWMQCGP-UHFFFAOYSA-N
HMDB0000335,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H](C2=O)O)CCC4=C3C=CC(=C4)O,115116,WPOCIZJTELRQMF-QFXBJFAPSA-N
HMDB0000336,C[C@H](CO)C(=O)O,11217234,DBXBTMSZEOQQDU-GSVOUGTGSA-N
HMDB0000337,C(C(CO)O)C(=O)O,150929,DZAIOXUZHHTJKN-UHFFFAOYSA-N
HMDB0000338,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)O)O,247304,DILDHNKDVHLEQB-XSSYPUMDSA-N
HMDB0000339,CCC(C)C(=O)NCC(=O)O,193872,HOACIBQKYRHBOW-UHFFFAOYSA-N
HMDB0000340,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)CO)O)O)C,5283905,RFSKRKUKTCLIAV-OWXKUJNZSA-N
HMDB0000341,C(CCC(=O)O)C/C=C/C(=O)O,6079438,BNTPVRGYUHJFHN-HWKANZROSA-N
HMDB0000343,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)O)O,440623,SWINWPBPEKHUOD-JPVZDGGYSA-N
HMDB0000344,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)OC,11301534,AVCFXYYRWRZONV-BKRJIHRRSA-N
HMDB0000345,C(CC(=O)O)C(CC(=O)O)O,151913,YVOMYDHIQVMMTA-UHFFFAOYSA-N
HMDB0000347,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,68929,PROQIPRRNZUXQM-ZMSHIADSSA-N
HMDB0000348,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)O)C,5283835,KXGVEGMKQFWNSR-UPSXFCICSA-N
HMDB0000351,C[C@@H]([C@@H](C)O)C(=O)O,12313370,VEXDRERIMPLZLU-IUYQGCFVSA-N
HMDB0000352,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3C[C@H](C4=O)O)C)O,102030,QQIVKFZWLZJXJT-DNKQKWOHSA-N
HMDB0000354,CC(C(C)O)C(=O)O,160471,VEXDRERIMPLZLU-UHFFFAOYSA-N
HMDB0000355,CC(CC(=O)O)(CC(=O)O)O,1662,NPOAOTPXWNWTSH-UHFFFAOYSA-N
HMDB0000357,CC(CC(=O)O)O,441,WHBMMWSBFZVSSR-UHFFFAOYSA-N
HMDB0000361,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@@H](C4)O)C)O)C,164673,RUDATBOHQWOJDD-JGFDLHJZSA-N
HMDB0000362,C(C(C(=O)O)OP(=O)(O)O)O,59,GXIURPTVHJPJLF-UHFFFAOYSA-N
HMDB0000363,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,91451,JERGUCIJOXJXHF-TVWVXWENSA-N
HMDB0000364,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H]([C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,5283851,DKPMWHFRUGMUKF-NTPBNISXSA-N
